Individuo,T0,T3,T6,T9,T12,t0,t3,t6,t9,t12
1,1.66,1.67,1.65,1.64,1.62,1.66,1.65,1.63,1.64,1.63
2,1.85,1.71,1.71,1.74,1.70,1.85,1.74,1.81,1.77,1.74
3,2.73,2.75,2.73,2.72,2.70,2.73,2.68,2.65,2.70,2.67
4,3.04,2.71,2.75,2.72,2.71,3.04,2.94,2.98,2.91,2.90
5,3.73,3.74,3.73,3.72,3.71,3.73,3.66,3.69,3.62,3.62
6,1.61,1.61,1.56,1.60,1.60,1.61,1.57,1.57,1.55,1.52
7,2.33,2.28,2.26,2.28,2.27,2.33,2.30,2.33,2.29,2.27
8,5.97,5.96,5.94,5.95,5.94,5.97,5.94,5.87,5.87,5.85
9,2.15,2.14,2.13,2.12,2.11,2.15,2.17,2.10,2.08,2.10
10,2.90,2.90,2.91,2.90,2.89,2.90,2.89,2.90,2.89,2.85
11,23.29,23.26,23.14,23.00,23.05,23.29,23.25,23.20,23.14,23.09
12,20.14,20.16,20.13,20.11,20.11,20.14,19.89,20.12,19.82,19.80
13,13.45,13.30,13.26,13.26,13.25,13.45,13.25,13.28,13.09,13.03
14,16.54,16.56,16.54,16.52,16.52,16.54,16.52,16.47,16.49,16.47
15,13.06,13.08,13.06,13.05,12.97,13.06,13.04,12.93,12.96,12.92
16,13.80,13.77,13.75,13.74,13.74,13.80,13.82,13.75,13.69,13.68
17,16.35,16.35,16.33,16.35,16.32,16.35,16.37,16.35,16.29,16.27
18,11.88,11.83,11.82,11.83,11.82,11.88,11.86,11.84,11.79,11.80
19,13.07,13.00,12.97,12.99,12.98,13.07,13.01,12.87,12.85,12.82
20,14.20,14.18,14.16,14.19,14.16,14.20,14.16,14.12,14.08,14.06
