Individuos ,25°C/#Mv,30°C/#Mv,35°C/#Mv,40°C/#Mv,25°C/#Mv,30°C/#Mv,35°C/#Mv,40°C/#Mv,25°C/#Mv,20°C/#Mv,15°C/#Mv,10°C/#Mv,25°C/#Mv,20°C/#Mv,15°C/#Mv,10°C/#Mv
1,3,5,5,5,5,1,3,5,1,5,4,6,6,5,6,8
2,6,3,5,7,5,5,5,1,1,5,6,4,5,6,6,5
3,6,3,3,6,3,2,5,3,2,2,9,4,3,3,3,8
4,5,6,6,5,4,3,3,6,4,3,8,2,5,5,6,8
5,4,3,6,6,4,4,1,6,5,3,3,3,3,2,3,6
6,6,5,6,6,4,5,4,8,5,5,5,6,5,4,7,8
7,6,6,5,7,6,6,3,9,3,1,5,6,3,6,3,6
8,7,8,5,7,6,7,2,6,2,2,5,6,7,8,8,7
9,8,8,6,5,6,4,2,4,2,5,7,6,6,5,9,6
10,9,5,6,6,6,2,3,5,5,5,5,2,3,9,8,3
11,6,8,8,4,6,2,6,2,9,3,6,6,4,7,6,7
12,9,6,6,4,3,6,4,2,8,6,2,6,5,3,4,6
13,6,8,7,4,3,2,8,7,6,6,3,2,3,4,2,7
14,6,8,6,4,3,4,7,6,5,4,4,3,7,6,7,9
15,9,6,8,4,2,6,5,7,3,5,3,4,9,8,5,4
16,6,3,3,8,2,7,4,3,2,7,5,3,6,9,8,4
17,3,8,6,4,2,8,3,4,5,7,7,2,7,8,7,4
18,3,6,3,3,3,9,3,2,4,8,6,3,4,6,5,4
19,1,3,7,3,1,3,3,7,3,3,3,3,3,3,3,3
20,1,8,8,4,3,9,4,9,5,9,9,2,1,3,4,2

